amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price,flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,demand,average_rating,price_difference
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
mossad,by Michael Bar-Zohar - Import,4.6,637.0,8184958455,340,  Bar-Zohar Michael,8184958455,mossad,560.0,280,4.5,1197.0,4.55,60
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
my story,by Kamala Das,4.5,42.0,8172238975,178,  Kamala Das,8172238975,my story,322.0,178,4.3,364.0,4.4,0
inspiring thoughts (inspiring thoughts quotation series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120,  Abdul Kalam A. P. J.,8170286840,inspiring thoughts,357.0,149,4.2,505.0,4.15,29
inspiring thoughts (inspiring thoughts quotation series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120,  Abdul Kalam A. P. J.,8170286840,inspiring thoughts,357.0,149,4.2,505.0,4.15,29
inspiring thoughts (inspiring thoughts quotation series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120,  Abdul Kalam A. P. J.,8170286840,inspiring thoughts,357.0,149,4.2,505.0,4.15,29
inspiring thoughts (inspiring thoughts quotation series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120,  Abdul Kalam A. P. J.,8170286840,inspiring thoughts,357.0,149,4.2,505.0,4.15,29
inspiring thoughts (inspiring thoughts quotation series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120,  Abdul Kalam A. P. J.,8170286840,inspiring thoughts,357.0,149,4.2,505.0,4.15,29
inspiring thoughts (inspiring thoughts quotation series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120,  Abdul Kalam A. P. J.,8170286840,inspiring thoughts,357.0,149,4.2,505.0,4.15,29
inspiring thoughts (inspiring thoughts quotation series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120,  Abdul Kalam A. P. J.,8170286840,inspiring thoughts,357.0,149,4.2,505.0,4.15,29
inspiring thoughts (inspiring thoughts quotation series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120,  Abdul Kalam A. P. J.,8170286840,inspiring thoughts,357.0,149,4.2,505.0,4.15,29
inspiring thoughts (inspiring thoughts quotation series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120,  Abdul Kalam A. P. J.,8170286840,inspiring thoughts,357.0,149,4.2,505.0,4.15,29
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
