demand,average_rating,price_difference
46.0,4.65,0
37.0,4.25,210
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
8839.0,4.449999999999999,0
7023.0,4.8,76
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
2435.0,4.300000000000001,42
24.0,4.699999999999999,218
24.0,4.699999999999999,218
24.0,4.699999999999999,218
24.0,4.699999999999999,218
24.0,4.699999999999999,218
24.0,4.699999999999999,218
24.0,4.699999999999999,218
24.0,4.699999999999999,218
