amazon_title,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price,flipkart_title,flipkart_stars,flipkart_ratings count,flipkart_isbn10,flipkart_price,predicted_price,adjusted_price
My Story,4.5,42,8172238975,178, MY STORY,4.3,322,8172238975,178,179.82196724595542,197.80416397055097
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,148,8170286840,120, Inspiring Thoughts,4.2,357,8170286840,149,157.2825039854813,173.01075438402944
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,148,8170286840,120, Inspiring Thoughts,4.2,357,8170286840,149,157.2825039854813,173.01075438402944
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,148,8170286840,120, Inspiring Thoughts,4.2,357,8170286840,149,157.2825039854813,173.01075438402944
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,148,8170286840,120, Inspiring Thoughts,4.2,357,8170286840,149,157.2825039854813,173.01075438402944
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,148,8170286840,120, Inspiring Thoughts,4.2,357,8170286840,149,157.2825039854813,173.01075438402944
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,148,8170286840,120, Inspiring Thoughts,4.2,357,8170286840,149,157.2825039854813,173.01075438402944
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,148,8170286840,120, Inspiring Thoughts,4.2,357,8170286840,149,157.2825039854813,173.01075438402944
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,148,8170286840,120, Inspiring Thoughts,4.2,357,8170286840,149,157.2825039854813,173.01075438402944
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,148,8170286840,120, Inspiring Thoughts,4.2,357,8170286840,149,157.2825039854813,173.01075438402944
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
12 Years a Slave,4.5,41,8175994479,99, 12 years a slave : - A True Story,4.4,56,8175994479,140,220.46363978563272,242.510003764196
Headley And I,3.5,14,9350295725,247, Headley And I,4.2,46,9350295725,280,191.52253073683096,191.52253073683096
Headley And I,3.5,14,9350295725,247, Headley And I,4.2,46,9350295725,280,191.52253073683096,191.52253073683096
Headley And I,3.5,14,9350295725,247, Headley And I,4.2,46,9350295725,280,191.52253073683096,191.52253073683096
Headley And I,3.5,14,9350295725,247, Headley And I,4.2,46,9350295725,280,191.52253073683096,191.52253073683096
Headley And I,3.5,14,9350295725,247, Headley And I,4.2,46,9350295725,280,191.52253073683096,191.52253073683096
Headley And I,3.5,14,9350295725,247, Headley And I,4.2,46,9350295725,280,191.52253073683096,191.52253073683096
Headley And I,3.5,14,9350295725,247, Headley And I,4.2,46,9350295725,280,191.52253073683096,191.52253073683096
Headley And I,3.5,14,9350295725,247, Headley And I,4.2,46,9350295725,280,191.52253073683096,191.52253073683096
Headley And I,3.5,14,9350295725,247, Headley And I,4.2,46,9350295725,280,191.52253073683096,191.52253073683096
Making India Awesome: New Essays and Columns,3.8,1188,8129137429,100, Making India Awesome,4.1,1779,8129137429,112,108.28423800439941,108.28423800439941
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,54,9386850133,221, The Dirty Dozen - Hitmen of Mumbai Mafia,4.5,32,9386850133,221,276.65373174562274,304.31910492018505
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,54,9386850133,221, The Dirty Dozen - Hitmen of Mumbai Mafia,4.5,32,9386850133,221,276.65373174562274,304.31910492018505
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,54,9386850133,221, The Dirty Dozen - Hitmen of Mumbai Mafia,4.5,32,9386850133,221,276.65373174562274,304.31910492018505
